date,match_number,city,team_1,team_2,team_1_runs.total,team_2_runs.total,match_winner,player_of_match,team_1_over,team_2_over,toss_winner,toss_decision,team_1_runs.extras,team_2_runs.extras,team_1_extras.legbyes,team_2_extras.legbyes,team_1_extras.wides,team_2_extras.wides,team_1_extras.byes,team_2_extras.byes,team_1_extras.noballs,team_2_extras.noballs,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method,match_extras,match_legbyes,match_wides,match_byes,match_noballs,match_4's,match_6's
2008-04-18,1,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,222.0,82.0,Kolkata Knight Riders,BB McCullum,19.0,15.0,Royal Challengers Bangalore,field,17.0,19.0,4.0,8.0,9.0,11.0,4.0,0.0,0.0,0.0,J Srinath,VN Kulkarni,AM Saheba,Asad Rauf,RE Koertzen,,2008,MChinnaswamyStadium,140.0,group_stage,regular,36.0,12.0,20.0,4.0,0.0,18.0,17.0
2008-04-19,2,Chandigarh,Chennai Super Kings,Kings XI Punjab,240.0,207.0,Chennai Super Kings,MEK Hussey,19.0,19.0,Chennai Super Kings,bat,6.0,11.0,2.0,4.0,3.0,5.0,0.0,2.0,1.0,0.0,S Venkataraghavan,MSS Ranawat,RB Tiffin,MR Benson,SL Shastri,,2008,PunjabCricketAssociationStadium,33.0,group_stage,regular,17.0,6.0,8.0,2.0,1.0,38.0,25.0
2008-04-19,3,Delhi,Rajasthan Royals,Delhi Daredevils,129.0,132.0,Delhi Daredevils,MF Maharoof,19.0,15.0,Rajasthan Royals,bat,7.0,10.0,3.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,GR Viswanath,,IL Howell,Aleem Dar,GA Pratapkumar,9.0,2008,FerozShahKotla,,group_stage,regular,17.0,3.0,13.0,1.0,0.0,32.0,4.0
2008-04-20,4,Kolkata,Deccan Chargers,Kolkata Knight Riders,110.0,112.0,Kolkata Knight Riders,DJ Hussey,18.0,18.0,Deccan Chargers,bat,10.0,28.0,4.0,8.0,4.0,15.0,0.0,4.0,2.0,1.0,FM Engineer,F Gomes,Asad Rauf,BF Bowden,K Hariharan,5.0,2008,EdenGardens,,group_stage,regular,38.0,12.0,19.0,4.0,3.0,11.0,10.0
2008-04-20,5,Mumbai,Mumbai Indians,Royal Challengers Bangalore,165.0,166.0,Royal Challengers Bangalore,MV Boucher,19.0,19.0,Mumbai Indians,bat,11.0,5.0,6.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,J Srinath,SN Bandekar,AV Jayaprakash,SJ Davis,DJ Harper,5.0,2008,WankhedeStadium,,group_stage,regular,16.0,6.0,8.0,2.0,0.0,33.0,11.0
2008-04-21,6,Jaipur,Kings XI Punjab,Rajasthan Royals,166.0,168.0,Rajasthan Royals,SR Watson,19.0,18.0,Kings XI Punjab,bat,4.0,12.0,1.0,2.0,2.0,6.0,0.0,0.0,1.0,4.0,S Venkataraghavan,MSS Ranawat,I Shivram,Aleem Dar,RB Tiffin,6.0,2008,SawaiMansinghStadium,,group_stage,regular,16.0,3.0,8.0,0.0,5.0,35.0,14.0
2008-04-22,7,Hyderabad,Deccan Chargers,Delhi Daredevils,142.0,143.0,Delhi Daredevils,V Sehwag,19.0,13.0,Deccan Chargers,bat,5.0,12.0,3.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,Talat Ali,C Shamshuddin,MR Benson,IL Howell,AM Saheba,9.0,2008,RajivGandhiInternationalStadium,,group_stage,regular,17.0,3.0,8.0,0.0,1.0,27.0,12.0
2008-04-23,8,Chennai,Chennai Super Kings,Mumbai Indians,208.0,202.0,Chennai Super Kings,ML Hayden,19.0,19.0,Mumbai Indians,field,18.0,13.0,3.0,5.0,9.0,6.0,4.0,0.0,2.0,2.0,FM Engineer,S Ravi,BF Bowden,DJ Harper,GA Pratapkumar,,2008,MAChidambaramStadium,6.0,group_stage,regular,31.0,8.0,15.0,4.0,4.0,43.0,14.0
2008-04-24,9,Hyderabad,Deccan Chargers,Rajasthan Royals,214.0,217.0,Rajasthan Royals,YK Pathan,19.0,19.0,Rajasthan Royals,field,6.0,7.0,0.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,S Venkataraghavan,C Shamshuddin,SL Shastri,Asad Rauf,MR Benson,3.0,2008,RajivGandhiInternationalStadium,,group_stage,regular,13.0,4.0,7.0,0.0,2.0,42.0,23.0
2008-04-25,10,Chandigarh,Kings XI Punjab,Mumbai Indians,182.0,116.0,Kings XI Punjab,KC Sangakkara,19.0,19.0,Mumbai Indians,field,7.0,7.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,2.0,FM Engineer,HS Sekhon,RE Koertzen,Aleem Dar,AM Saheba,,2008,PunjabCricketAssociationStadium,66.0,group_stage,regular,14.0,2.0,8.0,1.0,3.0,30.0,9.0
